"school","category","parent","name","url","parser","categories"
"國立中央大學","行政單位","","校長室","https://president.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","秘書室","https://sec.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","教務處","https://office.acad.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","教務處","註冊組","https://pdc.acad.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","教務處","課務組","https://curriculum.acad.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","教務處","招生組","https://admission.acad.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","教務處","教學發展中心","https://cltl.acad.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","學生事務處","https://osa.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","學生事務處","生活輔導組","https://military.ncu.edu.tw/index.php","GENERIC","校園安全|交通安全|防藥物濫用|軍訓通訊|遺失物協尋|品德教育|智慧財產|獎助學金|學生兵役|就學貸款|學雜費減免|急難救助|弱勢助學|學生請假|學生獎懲|其他"
"國立中央大學","行政單位","學生事務處","課外活動指導組","https://activities.osa.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","學生事務處","衛生保健組","https://health.osa.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","學生事務處","諮商輔導中心","https://counseling.osa.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","學生事務處","職涯發展中心","https://careercenter.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","學生事務處","住宿服務組","https://shsd.ncu.edu.tw/","SHSD_JSON","一般公告|修繕相關|活動相關|住宿相關|徵才訊息|重要公告|其他"
"國立中央大學","行政單位","學生事務處","原住民族學生資源中心","https://isrc.osa.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","總務處","https://oga.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","總務處","文書組","https://oga.ncu.edu.tw/doc/","GENERIC",""
"國立中央大學","行政單位","總務處","事務組","https://oga.ncu.edu.tw/affair/","GENERIC",""
"國立中央大學","行政單位","總務處","出納組","https://oga.ncu.edu.tw/cash/","GENERIC",""
"國立中央大學","行政單位","總務處","保管組","https://oga.ncu.edu.tw/property/","GENERIC",""
"國立中央大學","行政單位","總務處","營繕組","https://oga.ncu.edu.tw/construction/","GENERIC",""
"國立中央大學","行政單位","","研發處","https://rd.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","研發處","綜合業務組","https://rd.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","研發處","研究計畫推動組","https://rd.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","研發處","學術發展組","https://rd.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","研發處","貴重儀器中心","https://ncuinstrument.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","國際事務處","https://oia.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","人事室","https://personnel.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","主計室","https://accounting.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","圖書館","https://www.lib.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","電子計算機中心","https://www.cc.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","環境保護暨安全衛生中心","https://cesh.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","體育室","https://sport.ncu.edu.tw/","GENERIC",""
"國立中央大學","行政單位","","產學營運中心","https://ciic.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","","文學院","https://www.cla.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","文學院","中國文學系","https://chinese.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","文學院","英美語文學系","https://english.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","文學院","法國語文學系","https://french.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","文學院","哲學研究所","https://philosophy.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","文學院","歷史研究所","https://history.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","文學院","藝術學研究所","https://art.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","文學院","學習與教學研究所","https://grit.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","文學院","師資培育中心","https://teacher.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","","理學院","https://www.science.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","理學院","物理學系","https://www.phy.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","理學院","數學系","https://www.math.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","理學院","化學學系","https://www.chem.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","理學院","統計研究所","https://www.stat.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","理學院","天文研究所","https://www.astro.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","理學院","光電科學與工程學系","https://dop.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","","工學院","https://www.eng.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","工學院","化學工程與材料工程學系","https://www.che.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","工學院","土木工程學系","https://www.cv.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","工學院","機械工程學系","https://www.me.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","工學院","環境工程研究所","https://www.ev.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","工學院","能源工程研究所","https://energy.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","工學院","材料科學與工程研究所","https://mse.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","工學院","營建管理研究所","https://cm.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","","管理學院","https://mgt.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","管理學院","企業管理學系","https://ba.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","管理學院","資訊管理學系","https://im.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","管理學院","財務金融學系","https://fm.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","管理學院","經濟學系","https://econ.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","管理學院","會計研究所","https://acc.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","管理學院","人力資源管理研究所","https://hrm.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","管理學院","工業管理研究所","https://iem.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","","資訊電機學院","https://ceecs.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","資訊電機學院","電機工程學系","https://ee.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","資訊電機學院","資訊工程學系","https://www.csie.ncu.edu.tw/","CSIE_SECTIONS","得獎訊息|徵才訊息|招生快訊|演講公告|活動快訊|課程訊息|系辦公告"
"國立中央大學","教學單位","資訊電機學院","通訊工程學系","https://comm.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","資訊電機學院","網路學習科技研究所","https://clt.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","","地球科學學院","https://earth.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","地球科學學院","地球科學學系","https://geps.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","地球科學學院","大氣科學學系","https://atm.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","地球科學學院","太空科學與工程學系","https://ss.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","地球科學學院","應用地質研究所","https://appgeol.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","地球科學學院","水文與海洋科學研究所","https://ihs.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","","生醫理工學院","https://cbme.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","生醫理工學院","生命科學系","https://ls.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","生醫理工學院","生醫科學與工程學系","https://bmse.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","生醫理工學院","認知神經科學研究所","https://icn.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","生醫理工學院","系統生物與生物資訊研究所","https://sbbi.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","","客家學院","https://hakka.ncu.edu.tw/","GENERIC",""
"國立中央大學","教學單位","客家學院","客家語文暨社會科學學系","https://hakkadss.ncu.edu.tw/","GENERIC",""
